"指摘ID","分類","記入者","レビュータスクID","ユーザー種別","ユーザーの目的","画面","幅","操作","期待したこと","実際に起きたこと","迷い・違和感","ユーザーへの影響","重大度","改善案","スクリーンショット","備考"
"CL-A01","A","Claude","DEVICE-001","受講生","スマホでコースを探す","/courses","390","下部ナビの「学習する」を押す","1カラムに折り返って読める","1440px固定キャンバスが0.45倍で描かれ、横スクロールが約258px出る。本文13pxが実効5.9px","縮小されたページをピンチで拡大しながら読むことになる","スマホ・タブレットでコースを探せない","高","scale方式をやめて他画面と同じ流動レイアウト（.wc-page + clamp）に移す","","useScaleToFit.ts の minScale=0.45 / MaterialsTopPage.tsx:15,73,239。768pxで0.53倍、1024pxで0.66倍"
"CL-A02","A","Claude","","受講生","（土台）","全画面","全幅","要素にパディングを足す","外寸が変わらない","preflight:false かつ box-sizing の指定が .wc-page の1箇所だけ。パディングが外寸に加算される","作った人が毎回はみ出しを個別に直している","「はみ出し」修正が繰り返し発生する根本原因","高","index.css 先頭に * への box-sizing:border-box を入れる。回帰確認は MUI レガシー3画面のみ","","tailwind.config.js:6-8 / index.css:267 / LessonArticle.tsx:252 に回避策のコメントあり"
"CL-A03","A","Claude","CONSISTENCY-001","受講生","キーボードだけで操作する","全画面","全幅","Tab を送る","いまどこにフォーカスがあるか分かる","ring-[#F6B9BD] は白面で1.68:1。WCAG2.2の非文字3:1に不足。109/328箇所にしか指定が無い","どこを押そうとしているのか分からない","キーボード操作が実質できない","高","--dc-focus に集約し #D60934 2px + 白2pxオフセットにする","","grep: ring-[#F6B9BD]=109 / <button>=328"
"CL-A04","A","Claude","CONSISTENCY-005","受講生","保存の成否を知る","全画面","全幅","保存やコピーを行う","結果が読める","白文字×#E86D78=3.05:1／#6BBF8A=2.22:1。role/aria-live無し。3秒で自動消滅・閉じるボタン無し。bottom-8はSP下部ナビ(64px)の裏","文字が読めないうちに消える","唯一のエラー通知が機能していない","高","role=status（errorはalert）、errorは手動クローズ、位置をナビ上へ、色をトークンへ","","ToastContext.tsx。教材画面では右下FAB(right:24 bottom:24)とも重なる"
"CL-A05","A","Claude","CONSISTENCY-006","受講生","小さい補助文字を読む","全画面","全幅","グラフの目盛りや注記を読む","読める","--dc-text-subtle #9E9E9E は白面で2.68:1。当たっている文字が10〜11px","目を近づけないと読めない","グラフの数値・注記・ログアウトが読めない","高","--dc-text-subtle を #767676（4.54:1）へ。--dc-text-muted は据え置き","","index.css:94 / AccountSettingsPage.tsx:494 / StudyRecordPanel.tsx:425,551"
"CL-A06","A","Claude","DEVICE-005","受講生","マイページを読む","/mypage, /study-log","1520","表示倍率125%のノートPCで開く","他の画面と同じ大きさで読める","clamp下限に張り付き本文11.5px。コーストップは15pxなので画面移動で字の大きさが変わる","画面ごとに読む姿勢を変えることになる","本文が小さく、移動のたびに違和感がある","高","clamp下限を本文13px/補助12px/最小11pxに上げ、--dc-fs-4xs を廃止。SPは固定14〜15px","","index.css:144-175 / CourseTopPage.tsx:525 / index.css:516"
"CL-A07","A","Claude","","受講生","読み上げで使う","全画面","全幅","スクリーンリーダーで開く","日本語音声で読まれる","html の lang が en のまま","英語音声で日本語が読まれる","読み上げ環境で内容が理解できない","中","html の lang 属性を ja にする（1行）","","public/index.html:2"
"CL-A08","A","Claude","","受講生","教材とマイページを2タブで行き来する","全画面","全幅","タブを切り替える","どちらのタブか見分けられる","document.title を設定している箇所が0件で、全タブ「WEBCOACH LMS」","タブを1つずつ開いて確かめる","タブ・履歴・ブックマークが見分けられない","中","useDocumentTitle を作りルート単位でページ名を入れる","","grep document.title = 0件"
"CL-A09","A","Claude","CONSISTENCY-007","受講生","運営に問い合わせる","全画面","全幅","問い合わせ先を探す","ヘルプ付近にリンクがある","channel.io へのリンクは AppHeader にあるが親 header が className=hidden。約270行が表示されない","どこを探しても見つからない","アプリ内から運営に連絡できない","高","死んだ header ブロックを削除し、問い合わせをサイドバー補助リンクへ移す","","AppHeader.tsx:618-884（777行にchannel.io）。通知ベル・ヘルプDD・AI相談ボタンも同じブロック内"
"CL-A10","A","Claude","","受講生","新しいコースの追加を知る","全画面","全幅","（受動）","新着が通知される","useNewContentNotification は溜め続けるが表示するベルは隠れたDOM内だけ","気づく手段が無い","新着コースに気づけない","中","収集を止めるか、出す面を決めるかのどちらかに決着させる","","AppHeader.tsx:38,467-470,807-878"
