"画面ID","ルート","ロール","到達導線","主ファイル","ファイル数","行数","トークン系統","系統数","レスポンシブ方式","共通部品(ui/*)","生<button>","インラインstyle","生hex","状態表示","優先度","レビュー担当","実施日","指摘数","ステータス","メモ"
"PUB-01","/login","公開","入口（/ と * からのリダイレクト先）","components/LoginPage.tsx","1","432","Tailwind brand.*","1","Tailwind bp(8)","なし","5","29","22","loading,empty,error","","","","","未着手",""
"PUB-02","/password-reset","公開","ログイン画面のリンク","components/PasswordResetPage.tsx","1","278","Tailwind brand.*","1","Tailwind bp(19)","ui/button","2","8","8","loading,empty,error","","","","","未着手",""
"PUB-03","/connect/:token","公開(コーチ)","管理画面で発行する招待リンク","components/ConnectCoachPage.tsx","1","351","webcoachTheme","1","（固定）","なし","4","57","6","loading,empty,error","","","","","未着手",""
"STU-01","/mypage","受講者","サイドバー「トップ」","components/MyPage.tsx","30","3888","--dc-*(278) / webcoachTheme","2","clamp(--dc-*経由) / Tailwind bp(48)","ui/button, ui/card, ui/progress, ui/badge","18","257","78","loading,empty,error","","","","","未着手",""
"STU-02","/study-log","受講者","マイページのカード内リンクのみ（サイドバーに無い）","components/studyLog/StudyLogPage.tsx","5","1281","--dc-*(138) / webcoachTheme","2","clamp(--dc-*経由)","なし","6","77","16","loading,empty,error","","","","","未着手",""
"STU-03","/courses","受講者","サイドバー「学習する」","components/MaterialsTopPage.tsx","3","789","tokens.ts","1","transform:scale(旧)","なし","6","89","15","loading,error","","","","","未着手",""
"STU-04","/course/:courseId/curriculum","受講者","教材トップのコースカード","components/CourseTopPage.tsx","1","600","--dc-*(72) / Tailwind brand.*","2","clamp(--dc-*経由)","なし","3","57","1","loading,empty,error","","","","","未着手",""
"STU-05","/course/:courseId","受講者","コーストップの「続きから」","components/learning/LearningWorkspacePage.tsx","18","4296","webcoachTheme","1","clamp(tsx内) / JS判定","なし","41","261","53","loading,empty,error","","","","","未着手",""
"STU-06","/notes","受講者","サイドバー「マイノート」","components/notes/MyNotesPage.tsx","10","2151","--dc-*(99) / webcoachTheme","2","clamp(--dc-*経由)","なし","26","128","39","loading,empty,error","","","","","未着手",""
"STU-07","/coaching","受講者","サイドバー「コーチング」","components/CoachingNotesPage.tsx","14","4121","--dc-*(18) / webcoachTheme","2","clamp(--dc-*経由)","なし","56","346","73","loading,empty,error","","","","","未着手",""
"STU-08","/learning-plan","受講者","要確認（参照元 mypage/RoadmapStrip は import 0 の死んだ部品）","components/learningPlan/LearningPlanPage.tsx","1","388","webcoachTheme","1","（固定）","なし","3","15","0","loading,empty,error","","","","","未着手",""
"STU-09","/learning-plan/setup","受講者","ロードマップの「初回設定をやり直す」","components/learningPlan/LearningPlanSetupPage.tsx","1","275","webcoachTheme","1","（固定）","なし","5","28","0","loading,error","","","","","未着手",""
"STU-10","/ai-coach","受講者","サイドバー「AIコーチ」","components/aicoach/AiCoachPage.tsx","11","2773","--dc-*(68) / webcoachTheme","2","clamp(tsx内) / clamp(--dc-*経由) / JS判定 / Tailwind bp(2)","なし","28","173","20","loading,empty,error","","","","","未着手",""
"STU-11","/account-settings","受講者","サイドバー下部アカウント行","components/AccountSettingsPage.tsx","1","514","--dc-*(25)","1","clamp(--dc-*経由)","なし","10","42","0","loading,empty,error","","","","","未着手",""
"STU-12","/profile","受講者","要確認（アカウント設定から？）","components/ProfilePage.tsx","1","387","--dc-*(15)","1","clamp(--dc-*経由)","なし","4","25","0","loading,error","","","","","未着手",""
"STU-13","/help/manual, /help/faq","受講者","要確認","components/help/HelpPage.tsx","1","310","webcoachTheme","1","Tailwind bp(1)","なし","0","21","1","loading,empty","","","","","未着手",""
"STU-14","/badges","受講者","要確認（mypage/ProfileSection は import 0）","components/BadgesPage.tsx","1","212","（なし）","0","Tailwind bp(14)","なし","3","1","9","loading,empty,error","","","","","未着手",""
"SHELL-01","（全画面共通）","共通","サイドバー＋SP下部ナビ。22ファイルが参照","components/shared/AppHeader.tsx","1","925","webcoachTheme / Tailwind brand.*","2","Tailwind bp(29)","なし","18","50","25","empty","","","","","未着手",""
"LEG-01","/webcoach","レガシー","直URLのみ","components/WebCoachDashboard.tsx","1","388","MUI","1","（固定）","なし","0","0","15","なし","","","","","未着手",""
"LEG-02","/career-path/:pathId","レガシー","/webcoach からのみ","components/CareerPathPage.tsx","1","393","MUI","1","（固定）","なし","0","0","7","なし","","","","","未着手",""
"LEG-03","/content-list","レガシー","直URLのみ","components/ContentListPage.tsx","1","723","MUI","1","（固定）","なし","10","3","1","loading,error","","","","","未着手",""
"LEG-04","/learning-courses","レガシー","直URLのみ","components/LearningCoursesPage.tsx","1","213","Tailwind brand.*","1","Tailwind bp(2)","なし","3","7","12","loading,empty,error","","","","","未着手",""
"LEG-05","（ルート削除済み）","到達不能","/courses/category/:id は /courses へリダイレクト","components/CategoryDetailPage.tsx","1","569","Tailwind brand.*","1","Tailwind bp(28)","なし","5","40","33","loading,empty,error","","","","","未着手",""
"ADM-01","/admin/create-course ほか6ルート","管理者","サイドバー「管理」→ AdminLayout","components/admin/AdminCsvPage.tsx","1","485","Tailwind brand.*","1","Tailwind bp(1)","ui/button","0","2","5","loading,error","","","","","未着手",""
"ADM-02","/admin/image-upload","管理者","管理サイドバー","components/admin/AdminImageUploadPage.tsx","1","24","Tailwind brand.*","1","（固定）","なし","0","1","1","なし","","","","","未着手",""
"ADM-03","/admin/cognito-users","管理者","管理サイドバー","components/admin/AdminCognitoUsersPage.tsx","1","295","Tailwind brand.*","1","Tailwind bp(1)","ui/button","1","7","12","loading,error","","","","","未着手",""
