"ID","フェーズ","ユーザー種別","ユーザーの目的","レビュー対象","開始地点","終了地点","私が行う操作","目視確認ポイント","確認する状態","画面サイズ","事前準備","想定時間","優先度","完了条件","ステータス"
"FLOW-001","1","受講生","ログインして「今日なにをすればよいか」を知る","ログイン → マイページ","http://localhost:3000/login（未ログイン状態）","/mypage を一通り読み終えたところ","1. localStorage を全削除してリロード
2. 表示された /login を10秒眺めてから、任意のメール・パスワードを入力して送信
3. /mypage に着いたらまず何も操作せず5秒、最初に目が行った場所をメモ
4. 上から順に読んで「今日やること」を自分の言葉で1文にする
5. 次に押したいボタンを1つ決める（まだ押さない）","☐ ログイン後どこに着いたか分かる
☐ 最初に目が行った要素と、設計上の主役（続きからはじめる）が一致している
☐ 「今日やること」を1文で言える
☐ 数字（学習時間・ストリーク・進捗）が何を指すか説明できる
☐ 同じ数字が複数箇所に重複して出ていない
☐ 次に押す場所が1つに決まる","通常（学習中コースあり・ロードマップ確定済み）","PC 1440px","localStorage 全削除","30分","P0","6項目すべてに「問題なし」または指摘IDを記録し、最初に目が行った場所と所要秒数を残している","確認可能"
"FLOW-002","1","受講生","前回の続きのレッスンにたどり着く","マイページ → コーストップ → レッスン","/mypage","/course/202?module=... のレッスン本文が表示された状態","1. 「続きからはじめる」を押す
2. 着いた画面（コーストップ）で、次にやるレッスンがどれか探す
3. 「続きから：〜」ボタンを押す
4. レッスン本文が出るまで、途中で迷った箇所を都度メモ
5. ブラウザの戻るを2回押して、元の位置に戻れるか確認","☐ 「続きからはじめる」を押した先が予想どおり
☐ コーストップで「次にやるレッスン」が一目で分かる
☐ STEPカードの開閉状態が理解できる（なぜこの単元だけ開いているか）
☐ レッスン画面に着いたとき、いま何の何番目かが分かる
☐ ブラウザバックで迷子にならない","通常（一部レッスン完了済み）","PC 1440px","FLOW-001 完了","30分","P0","各遷移で迷った回数と秒数を記録し、5項目に判定を残している","確認可能"
"FLOW-003","1","受講生","レッスンを読み切って完了し、次へ進む","学習ワークスペース","レッスン本文の先頭","次のレッスンが表示された状態","1. 本文を実際に最後まで読む（飛ばさない）
2. 確認問題があれば回答する
3. 完了操作を探して実行する
4. 完了後の画面の変化を観察する
5. 次のレッスンへ進む
6. コーストップに戻り、完了が反映されているか見る","☐ 「読み終わったら何をすべきか」が本文末で分かる
☐ 完了ボタンを迷わず見つけられる
☐ 完了したことが視覚的に伝わる
☐ 完了後に次の行き先が示されている
☐ コーストップの進捗率・チェックに反映されている
☐ 完了を取り消せることに気づける","未完了 → 完了","PC 1440px","FLOW-002 完了","30分","P0","完了前後のスクリーンショット2枚を保存し、6項目に判定を残している","確認可能"
"FLOW-004","1","受講生","自分が学びたいコースを探して開く","学習コンテンツ一覧","サイドバー「学習コンテンツ」","選んだコースのコーストップ","1. /courses を開き、まず5秒眺める
2. 「バナー」で検索して結果を見る
3. 検索を消し、学習領域チップ「コーディング」を押す
4. 「基礎からはじめる」と「実践で力をつける」の違いを読み取る
5. 未受講のコースを1つ選んで開く","☐ この画面が「続きの提示」と「探す」の2部構成だと分かる
☐ 検索結果が期待どおり絞れている
☐ 領域チップが「絞り込み」ではなく「ジャンプ」だと気づける
☐ 段階（基礎／実践／そのほか）の違いが理解できる
☐ カード同士の違い（難易度・時間・レッスン数・対象者）が読み取れる
☐ 未受講コースを開くのに不安がない","通常／検索ヒットあり","PC 1440px","ログイン済み","30分","P1","検索前後のスクリーンショットを保存し、6項目に判定を残している","確認可能"
"FLOW-005","1","受講生","集中して学習し、記録が残ったことを確認する","集中ブース → 終了カード → 学習記録","サイドバー「自習室」","/study-log で今の記録が見えた状態","1. /focus-booth を開き、何をする画面か5秒で判断
2. 教材を選び、今回の目標を入力し、タイマーを開始
3. 1〜2分待ち、一時停止→再開する
4. 終了し、表示される終了カードを最後まで記入する
5. 「学習記録を見る」で /study-log へ移動
6. 今の記録が一覧・グラフ・累計に反映されているか確認
7. マイページに戻り、学習時間・ストリークが同じ値か確認","☐ 開始前に何を決めればよいか分かる
☐ 計測中であることが明確
☐ 終了操作が見つかる
☐ 終了カードの入力項目の意味が分かり、負担に感じない
☐ 記録された数値が学習記録・マイページで一致している
☐ 記録して良かったと思える情報が返ってくる","未開始→計測中→一時停止→終了","PC 1440px","ログイン済み。1〜2分待てる時間帯","45分","P1","終了カードと学習記録のスクリーンショットを保存し、3画面の数値一致を記録している","確認可能"
"FLOW-006","1","受講生","分からない箇所をAIに聞き、後で振り返る","レッスン → AI/クリップ → ノート → レッスン","/course/202?module=202012","ノートから元のレッスンへ戻れた状態","1. 本文の分からなそうな2〜3行をドラッグ選択
2. 出てきたツールバーで「解説」を試す
3. もう一度選択して「AIに質問」→ 右パネルで質問を送る
4. 回答を⭐保存する／メモへ追加する
5. 別の箇所を選んで「クリップ」する
6. /notes を開き、3種類（メモ・クリップ・AI回答）が並ぶか確認
7. 「元のレッスンへ」で戻り、該当箇所が光るか確認","☐ テキスト選択で何ができるか分かる
☐ 解説・質問・クリップの違いが分かる
☐ AIの回答が教材のどこを根拠にしているか分かる
☐ 保存したものがどこに行ったか分かる
☐ ノートから元の場所に正確に戻れる
☐ 一連の操作で本文を見失わない","通常（structured教材）","PC 1440px","ログイン済み。ノートは0件から始めると差が見やすい","45分","P1","3種類のノートが1件ずつ作られ、復帰まで確認し、6項目に判定を残している","確認可能"
"FLOW-007","1","受講生","学習ロードマップを新規に作る","ロードマップ初回設定","/learning-plan の「初回設定をやり直す」","/learning-plan に新しい計画が表示された状態","1. /learning-plan を開き「初回設定をやり直す」を押す
2. 8問に、自分が受講生になったつもりで答える
3. 各設問で迷った箇所・選べなかった箇所をメモ
4. 生成されたプレビューを読む
5. 「このロードマップで進める」を押す","☐ 何のための質問か最初に分かる
☐ 所要時間の見込みが立つ
☐ 各設問の選択肢に自分の答えがある
☐ 単一選択が自動で次へ進む挙動に驚かない
☐ プレビューが自分の回答を反映していると納得できる
☐ 「これはAIの案であり後で変えられる」と伝わる","未作成 → 生成 → 確定","PC 1440px","ログイン済み。この操作でロードマップが作り直される","30分","P1","8問を通しで回答し、設問ごとの迷いの有無を記録している","確認可能"
"FLOW-008","1","受講生","ロードマップを見直して調整する","学習ロードマップ","/learning-plan（リロード直後・更新案あり）","更新案に回答し、結果が反映された状態","1. ブラウザをリロードして更新案カードが出る状態にする
2. 更新案の内容を読み、何が変わるのか把握する
3. 差分を選んで「更新する」または「現状維持」を選ぶ
4. 「質問に答えて見直す」で4問チェックインを行う
5. 結果（更新案 or 現状維持）を確認する
6. ペース調整カードで目標期限を変更してみる","☐ 更新案が「なぜ出たのか」が分かる
☐ 変更前・変更後の違いが読み取れる
☐ 採用しない選択があると分かる
☐ チェックイン4問の負担が許容できる
☐ 操作後に何が変わったか分かる
☐ 「AIの案」と「コーチと確認済み」の違いが伝わる","更新案あり／チェックイン／編集","PC 1440px","ページをリロード（計画はメモリ保持のため初期状態に戻る）","30分","P2","更新案への回答とチェックインを各1回実施し、6項目に判定を残している","確認可能"
"FLOW-009","1","受講生","コーチングを受けて次回までの目標を確定する","コーチング","/coaching","マイページの「次回までの目標」に反映された状態","1. /coaching を開き、次回コーチングカードを読む
2. 会議リンクを登録する（任意のURL）
3. 「参加する」を押し、同意モーダルの内容を読んで同意
4. 記録中の表示を確認して「終了」
5. 生成中 → 要約の確認画面へ進む
6. 目標候補を確認し、確定する
7. /mypage に戻り「次回までの目標」に載っているか確認","☐ 最初に何をすればよいか分かる
☐ 録画・文字起こしの同意内容が理解できて不安にならない
☐ 記録中であることが分かる
☐ 生成中に何が起きているか分かり、待てる
☐ 要約のどこが「会話の根拠」か辿れる
☐ 確定した目標がマイページに反映されている","リンク未登録→登録→記録中→生成中→確認→確定","PC 1440px","ログイン済み。別タブが開くのでポップアップ許可","45分","P1","確定までを1回通し、マイページ反映のスクリーンショットを保存している","確認可能"
"FLOW-010","1","受講生","AIコーチに相談する","AIコーチ専用ページ","サイドバー「AIコーチ」","会話を1つ終え、履歴から開き直した状態","1. /ai-coach を開き、まず5秒眺める
2. AI機能一覧から1つ選んで使う
3. ホームに戻り、自由入力から質問する
4. 履歴を開き、さっきの会話を開き直す
5. 会話を1つ削除する","☐ 何ができる画面か一目で分かる
☐ 機能を選ぶ基準が分かる
☐ 「おまかせ」と専門モードの違いが分かる
☐ 会話が保存されていることに気づける
☐ 削除の影響範囲が分かる","ホーム／会話／専門モード／履歴","PC 1440px","ログイン済み","30分","P2","5項目に判定を残し、ホーム画面のスクリーンショットを保存している","確認可能"
