"タスクID","フェーズ","優先度","想定時間","レビュー対象","予定日","実施日","所要時間","ステータス","指摘(高)","指摘(中)","指摘(低)","問題なしの項目数","保存したスクリーンショット","メモ"
"FLOW-001","1","P0","30分","ログイン → マイページ","5日目","","","確認可能","","","","","",""
"FLOW-002","1","P0","30分","マイページ → コーストップ → レッスン","5日目","","","確認可能","","","","","",""
"FLOW-003","1","P0","30分","学習ワークスペース","5日目","","","確認可能","","","","","",""
"FLOW-004","1","P1","30分","学習コンテンツ一覧","6日目","","","確認可能","","","","","",""
"FLOW-005","1","P1","45分","集中ブース → 終了カード → 学習記録","6日目","","","確認可能","","","","","",""
"FLOW-006","1","P1","45分","レッスン → AI/クリップ → ノート → レッスン","7日目","","","確認可能","","","","","",""
"FLOW-007","1","P1","30分","ロードマップ初回設定","7日目","","","確認可能","","","","","",""
"FLOW-008","1","P2","30分","学習ロードマップ","8日目","","","確認可能","","","","","",""
"FLOW-009","1","P1","45分","コーチング","8日目","","","確認可能","","","","","",""
"FLOW-010","1","P2","30分","AIコーチ専用ページ","9日目","","","確認可能","","","","","",""
"FLOW-011","1","P2","15分","受講生一覧","9日目","","","確認可能","","","","","",""
"FLOW-012","1","P2","30分","管理・コース作成","9日目","","","準備不足","","","","","",""
"FLOW-013","1","P2","15分","コーチ連携ページ","9日目","","","準備不足","","","","","",""
"SCREEN-001","2","P0","30分","/mypage","10日目","","","確認可能","","","","","",""
"SCREEN-002","2","P1","30分","/courses","11日目","","","確認可能","","","","","",""
"SCREEN-003","2","P1","30分","/course/203/curriculum","11日目","","","確認可能","","","","","",""
"SCREEN-004","2","P0","45分","/course/202?module=202012","10日目","","","確認可能","","","","","",""
"SCREEN-005","2","P1","30分","/course/202?module=202012","12日目","","","確認可能","","","","","",""
"SCREEN-006","2","P1","30分","/focus-booth","12日目","","","確認可能","","","","","",""
"SCREEN-007","2","P2","30分","/study-log","14日目","","","確認可能","","","","","",""
"SCREEN-008","2","P2","30分","/notes","14日目","","","確認可能","","","","","",""
"SCREEN-009","2","P1","45分","/learning-plan","13日目","","","確認可能","","","","","",""
"SCREEN-010","2","P1","30分","/coaching","13日目","","","確認可能","","","","","",""
"SCREEN-011","2","P2","30分","/ai-coach","14日目","","","確認可能","","","","","",""
"SCREEN-012","2","P1","15分","/login","11日目","","","確認可能","","","","","",""
"SCREEN-013","2","P2","30分","/profile → /account-settings","15日目","","","確認可能","","","","","",""
"SCREEN-014","2","P3","30分","/admin/*","15日目","","","準備不足","","","","","",""
"SCREEN-015","2","P3","15分","/coach/students","15日目","","","確認可能","","","","","",""
"SCREEN-016","2","P3","15分","/courses/category/1","12日目","","","確認可能","","","","","",""
"STATE-001","3","P1","30分","ルーティング全般","16日目","","","確認可能","","","","","",""
"STATE-002","3","P1","15分","/learning-plan","16日目","","","確認可能","","","","","",""
"STATE-003","3","P2","30分","/notes","17日目","","","確認可能","","","","","",""
"STATE-004","3","P2","15分","/courses, /notes","18日目","","","確認可能","","","","","",""
"STATE-005","3","P1","30分","コーストップ／一覧","16日目","","","確認可能","","","","","",""
"STATE-006","3","P2","30分","主要5画面","18日目","","","確認可能","","","","","",""
"STATE-007","3","P2","30分","主要画面","18日目","","","確認可能","","","","","",""
"STATE-008","3","P3","15分","一覧・カード全般","19日目","","","確認可能","","","","","",""
"STATE-009","3","P2","30分","/coaching","19日目","","","確認可能","","","","","",""
"STATE-010","3","P1","45分","/focus-booth","17日目","","","確認可能","","","","","",""
"STATE-011","3","P2","15分","複数画面","19日目","","","確認可能","","","","","",""
"STATE-012","3","P3","15分","/badges","19日目","","","確認可能","","","","","",""
"DEVICE-001","4","P0","30分","/mypage","20日目","","","確認可能","","","","","",""
"DEVICE-002","4","P0","30分","/course/202?module=202012","20日目","","","確認可能","","","","","",""
"DEVICE-003","4","P1","30分","/focus-booth, /study-log, /notes","21日目","","","確認可能","","","","","",""
"DEVICE-004","4","P1","30分","主要4画面","21日目","","","確認可能","","","","","",""
"DEVICE-005","4","P2","30分","主要3画面","4日目","","","確認可能","","","","","",""
"DEVICE-006","4","P0","15分","ナビゲーション全般","20日目","","","確認可能","","","","","",""
"CONSISTENCY-001","5","P2","30分","主要8画面","1日目","","","確認可能","","","","","",""
"CONSISTENCY-002","5","P2","30分","ナビ・見出し・パンくず","1日目","","","確認可能","","","","","",""
"CONSISTENCY-003","5","P2","30分","一覧系全画面","2日目","","","確認可能","","","","","",""
"CONSISTENCY-004","5","P1","30分","全画面","3日目","","","確認可能","","","","","",""
"CONSISTENCY-005","5","P2","30分","全画面","2日目","","","確認可能","","","","","",""
"CONSISTENCY-006","5","P3","30分","全画面","3日目","","","確認可能","","","","","",""
"CONSISTENCY-007","5","P1","15分","ヘッダー／アカウント設定","4日目","","","確認可能","","","","","",""
