"日","テーマ","タスクID","合計","その日に確認するユーザー体験","その日の終了条件"
"1","【横串】ボタンと現在地","CONSISTENCY-001, CONSISTENCY-002","60分","押す場所の型と、いまどこにいるかの示し方が全画面で揃っているか","8画面のボタン比較画像と点灯項目一覧が完成し、全指摘に分類（A/B/C）が入っている"
"2","【横串】カード・空状態・モーダル・トースト","CONSISTENCY-003, CONSISTENCY-005","60分","部品レベルの統一。閉じ方・待ち表現・0件表示が画面ごとに違わないか","比較画像が保存され、空状態を作れなかった画面が特定されている"
"3","【横串】色・余白・アイコンと、言葉の統一","CONSISTENCY-006, CONSISTENCY-004","60分","全体の質感と、同じものが同じ名前で呼ばれているか","6画面の比較画像と用語対応表が完成している"
"4","【横串】アカウント導線と、PC幅の許容範囲","CONSISTENCY-007, DEVICE-005","45分","ログアウトに辿り着けるか。1920 / 1520 で崩れないか","探索時間と結果が記録され、1520px で崩れた箇所が洗い出されている"
"5","受講生の中心動線を最初から最後まで","FLOW-001, FLOW-002, FLOW-003","90分","「ログインして、前回の続きを開いて、1レッスン終える」まで一度も止まらずに行けるか","3タスクの全確認項目に判定があり、レッスン完了前後のスクリーンショットが保存されている"
"6","自分でコースを探す／集中して学ぶ","FLOW-004, FLOW-005","75分","「学びたいものを自分で見つける」「集中して学び、記録が残る」","学習記録・集中ブース・マイページの数値一致を確認済み"
"7","分からないことを解決し、後で振り返る","FLOW-006, FLOW-007","75分","「AIに聞いて分かる」「ノートで戻れる」「長期計画を自分で作れる」","ノート3種が各1件作られ、ロードマップが8問から生成されている"
"8","計画の見直しとコーチング","FLOW-008, FLOW-009","75分","「計画が自分に合わせて更新される」「コーチングの結果が学習に繋がる」","目標がマイページに反映されたことを確認済み"
"9","AI・コーチ・管理の周辺フロー","FLOW-010, FLOW-011, FLOW-012, FLOW-013","90分","「AIコーチ単体で使えるか」「コーチ・管理者が仕事をできるか」","確認できなかったものは理由とともに記録されている"
"10","中心2画面をじっくり","SCREEN-001, SCREEN-004","75分","マイページとレッスン本文の情報設計","両画面のブロック役割メモが書かれている"
"11","探す・選ぶ画面","SCREEN-002, SCREEN-003, SCREEN-012","75分","コース選びとログインの第一印象","3コース比較のスクリーンショットが揃っている"
"12","学習を支える画面","SCREEN-005, SCREEN-006, SCREEN-016","75分","3ペイン構成と集中ブースの初見理解","4状態のスクリーンショットが揃っている"
"13","計画とコーチングの画面","SCREEN-009, SCREEN-010","75分","情報量の多い2画面で「今やること」が立っているか","ブロック役割メモが両画面ぶん書かれている"
"14","振り返り系とAI画面","SCREEN-007, SCREEN-008, SCREEN-011","90分","記録を見返す体験とAIの入口","3画面の判定が揃っている"
"15","設定・管理系","SCREEN-013, SCREEN-014, SCREEN-015","75分","使用頻度は低いが必要な画面","モック未対応の画面が明確に切り分けられている"
"16","入口と「無い」状態","STATE-001, STATE-002, STATE-005","75分","権限・未作成・進捗差の表示","5パターンの着地先が記録されている"
"17","タイマーとノートの状態","STATE-010, STATE-003","75分","状態遷移が多い2機能","タイマー5状態のスクリーンショットが揃っている"
"18","空・待ち・失敗","STATE-004, STATE-006, STATE-007","75分","うまくいかないときの案内","0件・ローディング・エラーの各スクリーンショットが揃い、DevTools設定を解除済み"
"19","分岐・フィードバック・長文","STATE-009, STATE-011, STATE-012, STATE-008","75分","代替手段と操作結果の伝達、長いテキストの扱い","成功・失敗の表示と、最長テキストの現状が記録されている"
"20","スマホ（最重要2画面＋到達性）","DEVICE-001, DEVICE-002, DEVICE-006","75分","スマホで学習が成立するか","6機能の到達可否表が完成している"
"21","スマホ（自習室）とタブレット","DEVICE-003, DEVICE-004","60分","中間サイズでの破綻の有無","3面＋4画面のスクリーンショットが揃っている"
"22","棚卸し","未完了タスクの消化","30〜60分","積み残しの回収","全タスクのステータスが「完了」または「確認不可（理由付き）」になっている"
